"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03030","hsa03030","DNA replication",31,0.564816513673201,1.96749792138491,0.000436740676184317,0.0107248740767088,0.00928531608011536,1646,"tags=45%, list=12%, signal=40%","POLE3/MCM6/POLE2/MCM4/MCM2/RPA3/RPA4/RFC5/RNASEH1/POLE4/POLA2/POLE/RFC3/MCM7"
"hsa04727","hsa04727","GABAergic synapse",86,-0.365637260473743,-1.72699872496977,0.000401535853682262,0.0107248740767088,0.00928531608011536,4034,"tags=48%, list=29%, signal=34%","GNB3/KCNJ6/GABRA2/GABRG1/SLC6A1/GNAI1/GABARAPL1/GNAI2/CACNA1D/SLC6A12/GLS/GNG5/SLC38A3/SLC6A13/GABRR2/ADCY6/GABRE/SLC38A2/CACNA1C/GNG11/GABRB3/ADCY1/GNB2/GAD2/PLCL1/PRKACA/GNG3/GLUL/GABBR2/GABRA6/GNB4/ABAT/SLC6A11/GNAI3/GNG4/PRKACG/GABRB1/GABARAPL2/GNG13/GABARAP/SLC38A5"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",320,-0.249481458482123,-1.42873705650541,0.000444225553473145,0.0107248740767088,0.00928531608011536,3275,"tags=29%, list=24%, signal=23%","GLRA1/ADRB1/PTGER3/GHRH/CHRNA6/PRSS3/NTSR1/ADRA1A/TAAR2/PTGER4/GRIK1/TAAR9/LEPR/GALR2/CHRM4/GRIN2D/HTR1B/GABRR2/MLN/GH2/F2RL1/MTNR1A/CHRNB3/TACR3/SSTR5/NPY/TAAR5/CHRM5/P2RX2/TAC3/CCKAR/NPBWR2/CHRNA10/PTAFR/GABRE/AVPR1A/MLNR/GABRB3/LYNX1/ADCYAP1R1/GPR156/EDN2/SST/GIP/NR3C1/CHRNE/EDNRB/CHRM1/INSL5/UCN2/HTR2A/UCN3/GALR3/SCT/GPR50/CHRNG/BDKRB1/GLP1R/GABBR2/OPRD1/CALCR/HCRTR1/GRID1/GRM1/GABRA6/ADRA2A/TAC1/ADRA1B/PRLH/HTR1E/UTS2R/LEP/DRD5/GRIN2C/AVP/CRHR1/NPY5R/GHR/MCHR2/GNRHR/CCKBR/SSTR2/ADM2/GRM2/HCRT/C5AR1/HCRTR2/PRLHR/GABRB1/MC2R/TSHB/GRIN1/F2R/ADRA2C"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",53,0.464170382354139,1.84445718904648,0.000776097080835427,0.0138552228969883,0.0119954903935308,2888,"tags=47%, list=21%, signal=37%","RIOK1/RIOK2/RBM28/CSNK2A2/EMG1/NXT1/DKC1/UTP14C/NAT10/MDN1/LSG1/RAN/WDR36/GTPBP4/RPP25/RPP40/RCL1/IMP4/IMP3/GNL3/XPO1/WDR75/TBL3/POP5/GNL2"
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism",45,0.479214156043062,1.83494037999757,0.000778843890659107,0.0138552228969883,0.0119954903935308,3493,"tags=53%, list=25%, signal=40%","PMM1/HEXB/GNPDA1/NAGK/GMDS/GMPPB/GALE/GCK/GFPT1/GALT/GMPPA/CYB5R2/UGP2/CMAS/UAP1L1/PGM1/RENBP/GPI/GFPT2/AMDHD2/GALK2/MPI/HEXA/PMM2"
"hsa03013","hsa03013","Nucleocytoplasmic transport",86,0.403813280794272,1.743993903799,0.00065019599010736,0.0138552228969883,0.0119954903935308,2746,"tags=35%, list=20%, signal=28%","NUP37/CSE1L/NXT1/NUP85/IPO7/NUP62/SUMO2/SUMO3/RAN/UPF3B/NUP188/SEH1L/XPOT/NUP35/NUP133/NUP155/NUP205/THOC3/RAE1/DDX19B/SRRM1/KPNA5/NUP93/NUP210/UPF3A/NUP160/RNPS1/XPO1/SAP18/UBE2I"
"hsa03010","hsa03010","Ribosome",126,0.357933771486432,1.64552733022668,0.000674681368759271,0.0138552228969883,0.0119954903935308,4038,"tags=52%, list=29%, signal=37%","RPL26L1/RPS9/MRPS11/MRPS9/MRPS14/MRPS15/MRPL36/MRPL11/MRPL20/RPL32/RPL8/MRPS17/MRPL23/RPSA/MRPS5/RPL22/RPL29/MRPL2/RPS5/RPL12/RPL36A/RPL18/RPL38/RPS3/RPS26/MRPL24/FAU/RPS7/RPL3L/RPL18A/MRPL9/MRPL21/RPL19/RPL10A/MRPL12/RPL6/MRPL22/RPLP0/RPS14/RPS15/RPS10/MRPL14/RPL4/RPL28/MRPS16/MRPS2/RPS11/RPS4X/MRPL33/RPL35A/MRPL27/RPL13A/RPL10/MRPL4/MRPS10/RPL17/RPS27/RPS2/RPL27/RPL10L/RPS15A/RPL30/RPS25/MRPL34/RPL41"
"hsa05016","hsa05016","Huntington disease",240,0.312035011037636,1.56288673985052,0.00073368822164238,0.0138552228969883,0.0119954903935308,2563,"tags=29%, list=19%, signal=24%","PIK3R4/PSMD9/MAPK9/NDUFB8/TBP/POLR2D/PSMD7/CYCS/PSMB5/VDAC3/HDAC1/COX4I1/IFT57/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/DCTN2/NDUFV2/NDUFS8/PSMC2/NDUFA12/PSMB2/UQCRFS1/NDUFA9/CREB3L2/PSMA1/PSMD3/NDUFA1/COX5B/NDUFV1/NDUFA7/TRAF2/POLR2L/NDUFB7/POLR2I/NDUFA8/ITPR1/PSMA5/NDUFB5/CYC1/SLC1A3/PSMA6/PSMB7/COX8A/NDUFA11/ACTR1B/UQCRC1/ACTR10/SLC25A4/PSMC4/POLR2F/PSMD6/DCTN3/SLC25A5/COX5A/ERN1/KIF5B/CLTCL1/PSMD2/COX7A2/VDAC1/NDUFS3/DNAL4/COX7C/TAF4/HAP1/PSMB1/POLR2G"
"hsa04024","hsa04024","cAMP signaling pathway",213,-0.263881731746563,-1.4510425493975,0.00136656339078709,0.0230949213043018,0.0199949801388848,3683,"tags=36%, list=27%, signal=27%","ATP1B2/GNAI1/GRIA3/FSHR/GNAI2/CREB1/BRAF/CACNA1D/CAMK4/HTR1D/GPHB5/CALML5/PPP1CA/CNGA3/ADRB1/RHOA/PTGER3/ATP1B3/HHIP/PDE3A/NFATC1/GRIN2D/BDNF/HTR1B/ROCK1/RAF1/RAP1A/FXYD1/ACOX1/SSTR5/NPY/ADCY6/FOS/CREB5/CACNA1C/ADCY1/MAPK3/ADCYAP1R1/EDN2/CALML3/SST/GIP/PRKACA/MYL9/CHRM1/CAMK2A/AKT3/PDE4B/HCN4/PPP1R12A/MAPK10/CNGA4/CNGA1/GLP1R/GABBR2/ATP2B1/ABCC4/RAP1B/PIK3CA/HTR1E/GNAI3/DRD5/GRIN2C/CALML4/CRHR1/ATP1A4/PPP1R1B/SSTR2/PRKACG/CNGB1/RAC3/MC2R/TSHB/GRIN1/PLN/F2R/CREB3"
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,0.701918694628846,1.84565251477152,0.00178975655072979,0.028806557816508,0.0249399659700693,2391,"tags=64%, list=17%, signal=53%","GGCX/COQ5/NQO1/COQ3/COQ6/VKORC1/COQ2"
"hsa03040","hsa03040","Spliceosome",92,0.373099557358046,1.6228839621082,0.00275854742438455,0.040538653453999,0.0350973081912542,4410,"tags=58%, list=32%, signal=39%","PPIE/DDX5/CDC40/RBM17/PRPF4/PPIH/DDX23/DHX16/PRPF38A/SNRPA/PPIL1/SNRPB2/SF3B5/CCDC12/SNRPF/RBMX/LSM4/SNRPA1/THOC3/WBP11/SF3B1/EFTUD2/CRNKL1/SNRPG/RP9/SNRPB/SART1/PLRG1/LSM8/USP39/RBM22/SNRPD2/PHF5A/SF3B2/SYF2/SNRPD3/LSM2/TXNL4A/DDX46/XAB2/DDX42/SNRPC/PCBP1/THOC1/HSPA8/PRPF31/PRPF3/U2AF1L4/DHX38/PRPF38B/LSM7/HSPA1L/SNRPD1"
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection",193,-0.268821117871009,-1.44406695786607,0.00273532037155886,0.040538653453999,0.0350973081912542,2160,"tags=25%, list=16%, signal=22%","FOS/HLA-E/GNG11/NFATC2/GNB2/MAPK3/RPS6KB2/CASP8/CALML3/CALR/RBX1/PDIA3/RNF7/CD4/GNG3/IFNB1/PAK3/AKT3/FAS/CFL2/MAP2K7/PTK2B/MAPK10/HLA-F/CFL1/IKBKB/CUL4A/GNB4/TNFRSF1B/PIK3CA/GNAI3/IRF3/CALML4/PAK2/HLA-G/IFNA10/PPP3CA/GNG4/MAP2K3/APOBEC3A/RAC3/APOBEC3C/GNG13/KRAS/SAMHD1/B2M/NFATC3/PXN/BID"
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars",35,0.492717399296681,1.76519163156286,0.0035114595073904,0.0474749325399182,0.0411025576022961,3136,"tags=51%, list=23%, signal=40%","PMM1/NAGK/GMDS/GMPPB/TGDS/GALE/GCK/GFPT1/GALT/GMPPA/UGP2/CMAS/UAP1L1/PGM1/GPI/GFPT2/GALK2/MPI"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation",44,0.460342219216733,1.74460063310501,0.00340244156841081,0.0474749325399182,0.0411025576022961,3272,"tags=48%, list=24%, signal=36%","PCCA/PCCB/ACAT1/HMGCL/ACADSB/ECHS1/HIBADH/ACAD8/EHHADH/HIBCH/IVD/HADHA/ACAA1/MCCC2/MCEE/BCKDHA/BCAT1/IL4I1/MCCC1/DBT/BCAT2"
"hsa04611","hsa04611","Platelet activation",109,-0.304893330229112,-1.49936634213563,0.00555974366183385,0.0722766676038401,0.0625752525501948,3982,"tags=44%, list=29%, signal=32%","GP9/PIK3R3/COL1A1/GNAI1/GNAI2/ARHGEF12/MAPK11/PLA2G4F/PPP1CA/GNAQ/RHOA/ITGB3/TLN1/PRKCI/TBXAS1/ITGA2B/RASGRP1/PLA2G4D/COL1A2/ROCK1/PTGS1/STIM1/RAP1A/PLA2G4A/PLA2G4E/ADCY6/COL3A1/ADCY1/MAPK3/PRKACA/LCP2/FCGR2A/AKT3/PPP1R12A/MYLK/PRKG1/PLCB3/RAP1B/PIK3CA/GNAI3/GP6/PIK3CG/SNAP23/VASP/PRKACG/GNA13/F2R/FGA"
"hsa04062","hsa04062","Chemokine signaling pathway",177,-0.261382576400031,-1.38159187435863,0.00585271314301578,0.0732672978644198,0.0634329143765453,2742,"tags=28%, list=20%, signal=22%","CXCL6/CXCL1/ROCK1/CCL7/RAF1/RAP1A/GRK5/PF4V1/CCL27/ADCY6/GNG11/STAT5B/ADCY1/GNB2/CXCL5/MAPK3/PRKACA/ARRB1/GNG3/GRK6/AKT3/CCR6/PF4/PTK2B/CXCL14/JAK3/XCL1/PLCB3/IKBKB/RAP1B/GNB4/PIK3CA/GNAI3/CCL19/PIK3CG/CDC42/HCK/PREX1/GNG4/ARRB2/PRKACG/PPBP/RAC3/CCL21/XCR1/CCL11/GNG13/KRAS/PXN"
"hsa05032","hsa05032","Morphine addiction",86,-0.320977498705001,-1.51605919563367,0.00609661005600461,0.0735947928189128,0.0637164509612512,2386,"tags=57%, list=17%, signal=47%","GNB5/GRK4/SLC32A1/PDE8B/GNGT1/GNG10/GNAS/GABRA4/GNG2/PRKCA/GABRD/PDE10A/PRKCG/GNB3/KCNJ6/PDE1A/GABRA2/GABRG1/GNAI1/GNAI2/PDE8A/KCNJ3/GNG5/PDE3A/GABRR2/GRK5/ADCY6/GABRE/GNG11/GABRB3/ADCY1/GNB2/PRKACA/ARRB1/PDE11A/GNG3/GRK6/PDE4B/KCNJ9/GABBR2/PDE1C/GABRA6/GNB4/GNAI3/GNG4/ARRB2/PRKACG/GABRB1/GNG13"
"hsa03420","hsa03420","Nucleotide excision repair",56,0.40015036279159,1.6005453429041,0.00795008307203054,0.0907492600778282,0.0785683410203558,3255,"tags=43%, list=24%, signal=33%","ERCC5/ERCC6/POLR2D/ERCC8/POLE3/POLE2/ERCC3/RPA3/RPA4/POLR2L/POLR2I/RFC5/POLE4/POLE/RFC3/POLR2F/GTF2H3/GTF2H5/CDK7/POLR2G/ERCC4/LIG1/GTF2H4/RPA2"
"hsa04146","hsa04146","Peroxisome",72,0.369960264589325,1.54894076929419,0.00805466805424511,0.0907492600778282,0.0785683410203558,3407,"tags=42%, list=25%, signal=32%","GNPAT/MPV17/PXMP2/MLYCD/PMVK/GSTK1/SCP2/SLC25A17/AGPS/PEX7/HMGCL/ACSL3/PEX11B/ACOX2/ECH1/EHHADH/AMACR/PRDX1/ACAA1/IDH1/ACOT8/HSD17B4/CROT/PEX5/DECR2/PECR/DDO/PAOX/PEX16/NUDT13"
"hsa04713","hsa04713","Circadian entrainment",92,-0.309107636994322,-1.48975972298812,0.0090873374767742,0.0959850020984275,0.0831013098205009,2235,"tags=28%, list=16%, signal=24%","ADCY6/FOS/CACNA1C/GNG11/ADCY1/GNB2/RPS6KA5/MAPK3/ADCYAP1R1/CACNA1H/CALML3/PRKACA/CAMK2A/GNG3/RYR3/KCNJ9/PRKG1/PLCB3/GNB4/GNAI3/GRIN2C/CALML4/GNG4/PRKACG/GNG13/GRIN1"
"hsa05010","hsa05010","Alzheimer disease",318,0.262773835198282,1.35696700290497,0.00900435228883405,0.0959850020984275,0.0831013098205009,2243,"tags=23%, list=16%, signal=20%","ATP2A2/PIK3R4/SLC39A9/PSMD9/MAPK9/NDUFB8/SLC39A11/PSMD7/CYCS/PSMB5/VDAC3/CSNK2A2/COX4I1/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/NDUFV2/NDUFS8/PSMC2/NDUFA12/SLC39A14/PSMB2/UQCRFS1/PPP3CB/MAP2K1/NDUFA9/PSMA1/PSMD3/NDUFA1/COX5B/NDUFV1/NDUFA7/TRAF2/CALM1/CDK5/GAPDH/AXIN1/NDUFB7/SLC11A2/FZD3/NDUFA8/ITPR1/IDE/PSMA5/NDUFB5/CYC1/PSMA6/AXIN2/PSMB7/ITPR3/NRAS/COX8A/NDUFA11/UQCRC1/PPP3CC/SLC25A4/WNT1/PSMC4/PSEN2/PSMD6/SLC25A5/COX5A/ERN1/KIF5B/XBP1/WNT5A/PSMD2/APH1A/NFKB1/COX7A2/VDAC1"
"hsa04726","hsa04726","Serotonergic synapse",110,-0.294267766960803,-1.45067759821938,0.00963671182299898,0.0987032907931411,0.0854547332310596,4177,"tags=46%, list=30%, signal=33%","TPH2/PLCB4/GNB3/KCNJ6/HTR5A/DDC/MAOA/GNAI1/GNAI2/CYP2C8/BRAF/CACNA1D/SLC6A4/HTR1D/PLA2G4F/ARAF/KCNJ3/HTR2B/GNAQ/KCND2/CYP4X1/GNG5/TPH1/PLA2G4D/CYP2C9/HTR1B/PTGS1/RAF1/PLA2G4A/PLA2G4E/DUSP1/CACNA1C/GNG11/GABRB3/GNB2/MAPK3/PRKACA/HTR2A/GNG3/KCNJ9/PLCB3/GNB4/HTR3C/HTR1E/GNAI3/PTGS2/GNG4/PRKACG/GABRB1/GNG13/KRAS"
"hsa04014","hsa04014","Ras signaling pathway",216,-0.236820362249708,-1.29891925634736,0.0101498422393311,0.100901372849821,0.0873577753106519,3706,"tags=34%, list=27%, signal=25%","FLT1/VEGFA/PLA2G2E/FGFR3/EFNA5/EFNA2/CALML5/PLA2G4F/FGF20/RHOA/GNG5/RASAL2/ANGPT1/SYNGAP1/IGF1R/RASGRP1/PLA2G4D/EGFR/BDNF/BCL2L1/FGFR4/PGF/RAF1/RAP1A/FGF17/RAB5A/TEK/RASAL1/REL/HGF/PLA2G4A/PLA2G4E/RGL2/GNG11/PLA2G3/INSR/TGFA/GNB2/GAB2/RASGRP4/MAPK3/INS/CALML3/PRKACA/ETS1/GNG3/PAK3/AKT3/FGF3/MAPK10/PLA2G12A/GAB1/EFNA4/FGF2/NTF3/IKBKB/RAP1B/RAB5C/GNB4/SHOC2/PIK3CA/CALML4/RALBP1/PAK2/ARF6/PLA2G2D/CDC42/GNG4/FGF18/PRKACG/RAC3/GNG13/KRAS/GRIN1"
"hsa04120","hsa04120","Ubiquitin mediated proteolysis",127,0.314858055231264,1.44988270380046,0.0122444136310015,0.118246051636529,0.102374345546419,2746,"tags=32%, list=20%, signal=26%","BTRC/CBLB/UBE2A/ERCC8/SAE1/PIAS2/FBXO2/CDC23/ANAPC1/UBE2Z/UBE2Q1/UBE2G2/UBE2J2/ANAPC2/ANAPC4/UBE3A/HERC4/CUL2/UBE2E2/SKP2/KLHL9/ANAPC10/DET1/VHL/TRAF6/ANAPC13/ANAPC5/FBXW11/FBXO4/CDC16/UBE2L6/TRIM37/HERC2/RCHY1/UBE2D4/ANAPC11/TRIM32/MDM2/UBE3C/KEAP1/UBE2I"
"hsa00563","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",24,0.49529986915458,1.63037753390972,0.0144040270384112,0.124406185229857,0.107707628445656,3258,"tags=54%, list=24%, signal=41%","PIGN/PIGG/PIGO/PIGK/PIGC/PGAP1/PIGL/MPPE1/PIGF/PIGS/PIGY/PIGT/GPLD1"
"hsa00510","hsa00510","N-Glycan biosynthesis",45,0.408193408553732,1.56299758418819,0.0160985806688122,0.124406185229857,0.107707628445656,1185,"tags=29%, list=9%, signal=26%","ALG9/ALG6/DAD1/DOLPP1/MAN1A2/DPAGT1/ALG8/ALG1/STT3B/STT3A/DPM3/MAN1C1/ALG14"
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes",53,-0.348529984186432,-1.52160421848713,0.0161948880180879,0.124406185229857,0.107707628445656,4019,"tags=45%, list=29%, signal=32%","CGA/PIK3R3/GNAI1/GNAI2/CIDEC/ADRB1/PTGER3/PTGS1/NPY/ADCY6/INSR/ADCY1/INS/PRKACA/ABHD5/AKT3/AQP7/PRKG1/PNPLA2/PIK3CA/GNAI3/PTGS2/PRKACG/TSHB"
